source,source_kb,source_width,source_height,reason,output,output_kb,output_width,output_height
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_pq_merge_params.avif,364.4,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_pq_merge_params.jpg,7289.8,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_pq_merge_params.webp,343.6,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_pq_params_control.avif,106.7,2752,1536,>1200px wide,,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_pq_params_control.jpg,5377.4,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_pq_params_control.webp,120.9,2752,1536,>1200px wide,,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_qr.avif,244.7,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_qr.png,6842.9,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_qr.webp,245.1,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_unlocked.avif,312.4,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_unlocked.png,6940.3,2752,1536,">200KB, >1200px wide",,,,
C:\Users\tetsu\OneDrive\デスクトップ\新規ホームページ 本命改良\image\hero_unlocked.webp,310.0,2752,1536,">200KB, >1200px wide",,,,
